OrderID;CustomerID;ProductID;OrderDateFixed;Quantity;UnitPrice;DiscountsUsedFixed;DiscountPercent;TotalPriceFix;CampaignID
ORD001142;CUST0166;PRD027;28.5.2024;1;89,36;Yes;30;62,55;CMP008
ORD002171;CUST0017;PRD029;12.8.2024;1;124,45;No;;124,45;CMP006
ORD001623;CUST0120;PRD048;29.7.2024;1;21,47;No;;21,47;No Campaign
ORD000611;CUST0096;PRD013;27.6.2024;2;46,11;No;;92,22;CMP003
ORD001674;CUST0170;PRD035;11.9.2024;2;105,18;No;;210,36;No Campaign
ORD001840;CUST0154;PRD034;16.5.2024;2;97,71;No;;195,42;CMP007
ORD000881;CUST0198;PRD044;23.6.2024;1;38,28;No;;38,28;No Campaign
ORD000439;CUST0095;PRD028;16.1.2024;1;114,4;Yes;15;97,24;CMP005
ORD001718;CUST0242;PRD037;14.10.2024;1;44,58;Yes;20;35,66;CMP004
ORD001192;CUST0163;PRD047;10.12.2024;3;38,8;No;;116,4;CMP002
ORD001129;CUST0014;PRD037;15.9.2024;1;44,58;No;;44,58;No Campaign
ORD001061;CUST0167;PRD012;18.6.2024;3;67,03;No;;201,09;CMP003
ORD001505;CUST0015;PRD051;5.2.2024;1;103,2;No;;103,2;CMP002
ORD000254;CUST0135;PRD014;6.3.2024;2;19,71;Yes;30;27,59;No Campaign
ORD001023;CUST0047;PRD026;26.1.2024;3;140,08;No;;420,24;No Campaign
ORD000022;CUST0135;PRD052;5.7.2024;2;23,84;Yes;15;40,53;CMP002
ORD002261;CUST0120;PRD008;13.4.2024;2;34,35;No;;68,7;CMP008
ORD002080;CUST0072;PRD043;15.4.2024;1;83,38;Yes;10;75,04;CMP007
ORD000765;CUST0183;PRD002;1.2.2024;1;134,25;Yes;20;107,4;CMP008
ORD001663;CUST0006;PRD029;9.8.2024;1;124,45;No;;124,45;CMP003
ORD002302;CUST0021;PRD004;8.12.2024;1;110,52;No;;110,52;CMP004
ORD001185;CUST0254;PRD032;9.7.2024;1;96,29;No;;96,29;CMP004
ORD002341;CUST0166;PRD004;1.12.2024;3;110,52;Yes;10;298,4;No Campaign
ORD001113;CUST0181;PRD023;27.5.2024;1;26,66;No;;26,66;No Campaign
ORD002183;CUST0023;PRD017;11.6.2024;1;94,18;No;;94,18;CMP006
ORD000249;CUST0187;PRD003;22.5.2024;1;54,5;No;;54,5;CMP004
ORD001415;CUST0176;PRD003;9.12.2024;1;54,5;Yes;30;38,15;CMP001
ORD002066;CUST0202;PRD001;8.9.2024;1;88,41;Yes;20;70,73;CMP002
ORD000338;CUST0054;PRD014;25.11.2024;1;19,71;Yes;30;13,8;No Campaign
ORD000890;CUST0251;PRD036;29.7.2024;2;132,58;Yes;25;198,87;No Campaign
ORD001627;CUST0189;PRD020;31.7.2024;1;44,96;No;;44,96;No Campaign
ORD000267;CUST0139;PRD038;2.6.2024;1;73,83;No;;73,83;CMP002
ORD002307;CUST0064;PRD005;24.11.2024;4;114,73;No;;458,92;No Campaign
ORD001462;CUST0122;PRD037;2.6.2024;1;44,58;No;;44,58;CMP007
ORD000581;CUST0239;PRD002;1.11.2024;4;134,25;No;;537;No Campaign
ORD000515;CUST0188;PRD013;30.9.2024;1;46,11;No;;46,11;No Campaign
ORD000076;CUST0081;PRD002;5.7.2024;1;134,25;No;;134,25;No Campaign
ORD000822;CUST0150;PRD026;22.9.2024;3;140,08;No;;420,24;CMP001
ORD000273;CUST0022;PRD035;30.4.2024;1;105,18;No;;105,18;CMP003
ORD000132;CUST0004;PRD039;13.7.2024;1;98,45;No;;98,45;CMP002
ORD000441;CUST0072;PRD037;7.4.2024;1;44,58;No;;44,58;CMP005
ORD000413;CUST0084;PRD031;21.12.2024;1;50,82;No;;50,82;CMP006
ORD000738;CUST0204;PRD002;22.10.2024;2;134,25;No;;268,5;No Campaign
ORD001157;CUST0013;PRD008;25.10.2024;2;34,35;No;;68,7;CMP001
ORD001564;CUST0088;PRD050;7.2.2024;4;31,99;No;;127,96;CMP004
ORD000155;CUST0171;PRD009;8.6.2024;1;82,74;No;;82,74;CMP002
ORD000617;CUST0184;PRD017;18.3.2024;3;94,18;Yes;15;240,16;CMP007
ORD000056;CUST0146;PRD045;26.8.2024;1;12,65;Yes;30;8,86;No Campaign
ORD001324;CUST0045;PRD043;14.9.2024;1;83,38;No;;83,38;CMP001
ORD001375;CUST0142;PRD003;25.9.2024;1;54,5;Yes;10;49,05;No Campaign
ORD001789;CUST0222;PRD013;28.6.2024;1;46,11;Yes;10;41,5;No Campaign
ORD001811;CUST0259;PRD004;19.10.2024;1;110,52;No;;110,52;CMP003
ORD002304;CUST0170;PRD003;2.11.2024;3;54,5;No;;163,5;CMP002
ORD001761;CUST0028;PRD015;8.9.2024;1;111,98;No;;111,98;CMP007
ORD001159;CUST0176;PRD037;25.3.2024;1;44,58;Yes;15;37,89;CMP004
ORD001166;CUST0158;PRD037;21.5.2024;1;44,58;Yes;30;31,21;CMP002
ORD000019;CUST0069;PRD012;10.4.2024;4;67,03;No;;268,12;CMP001
ORD001819;CUST0024;PRD003;17.5.2024;1;54,5;Yes;30;38,15;CMP004
ORD001635;CUST0101;PRD046;25.6.2024;1;74,72;No;;74,72;CMP003
ORD001499;CUST0197;PRD009;30.4.2024;4;82,74;No;;330,96;CMP006
ORD001535;CUST0257;PRD019;9.1.2024;2;105,93;No;;211,86;CMP003
ORD000494;CUST0057;PRD039;1.7.2024;1;98,45;Yes;;98,45;CMP001
ORD000723;CUST0215;PRD013;31.12.2024;1;46,11;No;;46,11;CMP008
ORD001081;CUST0074;PRD049;24.4.2024;1;80,98;Yes;20;64,78;CMP007
ORD000078;CUST0246;PRD006;20.6.2024;1;25,77;No;;25,77;CMP005
ORD002189;CUST0077;PRD052;22.5.2024;1;23,84;No;;23,84;CMP001
ORD001989;CUST0039;PRD011;20.4.2024;1;141,07;No;;141,07;CMP006
ORD000801;CUST0189;PRD006;18.6.2024;1;25,77;No;;25,77;CMP001
ORD002317;CUST0097;PRD052;21.11.2024;4;23,84;Yes;20;76,29;No Campaign
ORD000938;CUST0024;PRD011;8.9.2024;1;141,07;No;;141,07;CMP002
ORD001071;CUST0106;PRD006;22.2.2024;1;25,77;No;;25,77;No Campaign
ORD000203;CUST0113;PRD045;15.7.2024;3;12,65;No;;37,95;No Campaign
ORD001003;CUST0092;PRD027;26.7.2024;1;89,36;Yes;15;75,96;CMP004
ORD000999;CUST0174;PRD051;16.10.2024;4;103,2;No;;412,8;No Campaign
ORD000806;CUST0042;PRD044;11.12.2024;1;38,28;No;;38,28;CMP007
ORD000404;CUST0139;PRD021;5.6.2024;1;144,21;Yes;15;122,58;No Campaign
ORD000861;CUST0161;PRD001;7.10.2024;2;88,41;No;;176,82;CMP002
ORD000768;CUST0116;PRD040;5.1.2024;1;62,21;No;;62,21;CMP004
ORD001144;CUST0058;PRD015;1.1.2024;1;111,98;Yes;15;95,18;No Campaign
ORD001759;CUST0177;PRD029;28.1.2024;2;124,45;Yes;30;174,23;CMP007
ORD000204;CUST0248;PRD023;22.2.2024;1;26,66;No;;26,66;CMP007
ORD001790;CUST0055;PRD033;5.10.2024;2;102,1;No;;204,2;No Campaign
ORD002229;CUST0122;PRD039;26.9.2024;3;98,45;Yes;30;206,75;CMP002
ORD000590;CUST0056;PRD018;13.7.2024;1;84,8;No;;84,8;No Campaign
ORD001102;CUST0184;PRD023;26.5.2024;1;26,66;No;;26,66;CMP001
ORD000151;CUST0060;PRD055;10.5.2024;1;146,19;No;;146,19;CMP003
ORD000944;CUST0090;PRD055;17.11.2024;3;146,19;No;;438,57;No Campaign
ORD000464;CUST0107;PRD043;8.4.2024;1;83,38;No;;83,38;CMP004
ORD000075;CUST0215;PRD012;11.12.2024;1;67,03;Yes;15;56,98;No Campaign
ORD001968;CUST0122;PRD043;5.1.2024;1;83,38;Yes;30;58,37;CMP003
ORD002025;CUST0206;PRD014;10.8.2024;2;19,71;No;;39,42;No Campaign
ORD000208;CUST0007;PRD031;2.8.2024;2;50,82;No;;101,64;No Campaign
ORD000205;CUST0179;PRD050;25.3.2024;1;31,99;No;;31,99;CMP002
ORD001080;CUST0236;PRD022;5.2.2024;4;36,13;No;;144,52;No Campaign
ORD002122;CUST0055;PRD050;28.12.2024;1;31,99;No;;31,99;No Campaign
ORD002342;CUST0188;PRD051;5.3.2024;1;103,2;No;;103,2;No Campaign
ORD002074;CUST0204;PRD053;8.5.2024;1;12,65;No;;12,65;CMP008
ORD002034;CUST0059;PRD038;13.6.2024;2;73,83;No;;147,66;CMP003
ORD000676;CUST0076;PRD039;7.11.2024;1;98,45;No;;98,45;CMP001
ORD000480;CUST0241;PRD050;23.12.2024;1;31,99;No;;31,99;CMP006
ORD001106;CUST0042;PRD052;10.7.2024;1;23,84;No;;23,84;No Campaign
ORD000313;CUST0227;PRD048;1.4.2024;2;21,47;No;;42,94;CMP005
ORD001812;CUST0057;PRD022;7.8.2024;4;36,13;No;;144,52;CMP002
ORD002318;CUST0138;PRD010;24.8.2024;2;92,66;Yes;20;148,26;CMP003
ORD001521;CUST0051;PRD031;24.11.2024;1;50,82;No;;50,82;No Campaign
ORD000783;CUST0248;PRD040;16.4.2024;3;62,21;Yes;;186,63;CMP008
ORD000149;CUST0132;PRD054;1.2.2024;3;108,05;No;;324,15;CMP007
ORD001986;CUST0088;PRD008;17.9.2024;2;34,35;No;;68,7;CMP006
ORD001807;CUST0018;PRD031;8.2.2024;2;50,82;No;;101,64;CMP007
ORD002281;CUST0172;PRD021;22.8.2024;2;144,21;No;;288,42;CMP001
ORD000103;CUST0047;PRD013;7.8.2024;2;46,11;Yes;10;83;CMP006
ORD000172;CUST0260;PRD053;24.12.2024;2;12,65;No;;25,3;No Campaign
ORD001052;CUST0058;PRD040;19.10.2024;2;62,21;Yes;20;99,54;CMP005
ORD000377;CUST0171;PRD020;13.9.2024;1;44,96;No;;44,96;CMP006
ORD002089;CUST0157;PRD010;7.12.2024;3;92,66;Yes;10;250,18;No Campaign
ORD000487;CUST0182;PRD010;12.8.2024;4;92,66;No;;370,64;CMP003
ORD000423;CUST0138;PRD003;1.10.2024;2;54,5;Yes;25;81,75;CMP007
ORD002239;CUST0209;PRD015;12.1.2024;2;111,98;Yes;30;156,77;No Campaign
ORD000457;CUST0121;PRD045;19.11.2024;1;12,65;Yes;20;10,12;CMP006
ORD000227;CUST0088;PRD018;14.8.2024;3;84,8;No;;254,4;CMP001
ORD000125;CUST0245;PRD054;25.2.2024;1;108,05;Yes;15;91,84;No Campaign
ORD000226;CUST0046;PRD021;7.9.2024;2;144,21;No;;288,42;No Campaign
ORD000109;CUST0211;PRD025;14.11.2024;1;62,88;No;;62,88;No Campaign
ORD000474;CUST0066;PRD028;13.4.2024;3;114,4;No;;343,2;No Campaign
ORD001454;CUST0035;PRD041;22.10.2024;1;116,18;No;;116,18;No Campaign
ORD000955;CUST0065;PRD028;6.11.2024;1;114,4;Yes;25;85,8;CMP007
ORD001639;CUST0094;PRD049;8.10.2024;1;80,98;No;;80,98;CMP002
ORD000707;CUST0056;PRD039;12.12.2024;1;98,45;No;;98,45;CMP008
ORD001803;CUST0006;PRD031;2.2.2024;2;50,82;No;;101,64;CMP004
ORD000279;CUST0080;PRD033;4.5.2024;1;102,1;Yes;10;91,89;CMP006
ORD000713;CUST0101;PRD022;5.12.2024;2;36,13;No;;72,26;CMP006
ORD002052;CUST0021;PRD030;15.10.2024;4;94,16;Yes;25;282,48;No Campaign
ORD001881;CUST0156;PRD041;9.8.2024;2;116,18;No;;232,36;No Campaign
ORD000181;CUST0205;PRD008;13.4.2024;1;34,35;Yes;15;29,2;CMP001
ORD000630;CUST0038;PRD031;24.11.2024;1;50,82;No;;50,82;CMP001
ORD002296;CUST0021;PRD002;28.10.2024;1;134,25;No;;134,25;No Campaign
ORD002295;CUST0220;PRD002;27.12.2024;1;134,25;No;;134,25;CMP003
ORD001954;CUST0220;PRD045;31.7.2024;2;12,65;Yes;15;21,51;No Campaign
ORD002215;CUST0051;PRD041;10.9.2024;2;116,18;No;;232,36;No Campaign
ORD000157;CUST0255;PRD053;9.1.2024;1;12,65;No;;12,65;CMP006
ORD000992;CUST0082;PRD032;8.10.2024;4;96,29;No;;385,16;CMP002
ORD000829;CUST0126;PRD042;5.3.2024;1;77,36;No;;77,36;No Campaign
ORD001519;CUST0247;PRD012;14.8.2024;1;67,03;Yes;10;60,33;CMP002
ORD000626;CUST0141;PRD034;7.1.2024;2;97,71;No;;195,42;CMP004
ORD000823;CUST0084;PRD018;21.5.2024;1;84,8;No;;84,8;CMP004
ORD000446;CUST0050;PRD010;24.10.2024;1;92,66;No;;92,66;No Campaign
ORD000682;CUST0089;PRD011;27.11.2024;3;141,07;No;;423,21;No Campaign
ORD002237;CUST0253;PRD040;28.2.2024;1;62,21;Yes;10;55,99;CMP007
ORD001581;CUST0041;PRD003;24.1.2024;1;54,5;Yes;15;46,33;CMP005
ORD001974;CUST0118;PRD039;23.12.2024;1;98,45;No;;98,45;CMP002
ORD001584;CUST0001;PRD040;16.10.2024;1;62,21;No;;62,21;No Campaign
ORD001060;CUST0003;PRD004;25.7.2024;1;110,52;No;;110,52;CMP008
ORD000982;CUST0223;PRD040;6.1.2024;1;62,21;No;;62,21;CMP003
ORD000892;CUST0031;PRD016;13.9.2024;1;77,06;No;;77,06;No Campaign
ORD000373;CUST0236;PRD043;25.11.2024;1;83,38;No;;83,38;CMP007
ORD001096;CUST0139;PRD040;15.10.2024;1;62,21;Yes;30;43,55;CMP004
ORD001787;CUST0091;PRD005;16.10.2024;1;114,73;No;;114,73;CMP004
ORD002282;CUST0135;PRD026;19.2.2024;2;140,08;Yes;20;224,13;CMP006
ORD001510;CUST0004;PRD016;16.12.2024;2;77,06;No;;154,12;CMP005
ORD002035;CUST0150;PRD025;23.9.2024;1;62,88;Yes;30;44,02;CMP002
ORD001055;CUST0019;PRD016;5.11.2024;1;77,06;No;;77,06;No Campaign
ORD000835;CUST0190;PRD040;3.12.2024;1;62,21;No;;62,21;CMP006
ORD002391;CUST0197;PRD047;30.3.2024;1;38,8;No;;38,8;No Campaign
ORD001837;CUST0091;PRD033;17.5.2024;1;102,1;Yes;10;91,89;No Campaign
ORD000509;CUST0176;PRD047;16.9.2024;1;38,8;No;;38,8;No Campaign
ORD001182;CUST0189;PRD008;13.2.2024;1;34,35;No;;34,35;CMP008
ORD000237;CUST0036;PRD033;6.5.2024;1;102,1;Yes;10;91,89;No Campaign
ORD002320;CUST0063;PRD003;27.2.2024;4;54,5;No;;218;No Campaign
ORD000412;CUST0077;PRD025;30.11.2024;1;62,88;Yes;15;53,45;No Campaign
ORD001195;CUST0055;PRD005;1.6.2024;2;114,73;No;;229,46;CMP002
ORD000538;CUST0143;PRD009;10.8.2024;1;82,74;No;;82,74;CMP004
ORD001768;CUST0066;PRD015;14.8.2024;1;111,98;Yes;15;95,18;CMP006
ORD001253;CUST0121;PRD022;22.9.2024;1;36,13;Yes;20;28,9;No Campaign
ORD001698;CUST0072;PRD018;13.7.2024;1;84,8;No;;84,8;CMP006
ORD000210;CUST0020;PRD022;13.8.2024;2;36,13;Yes;30;50,58;CMP004
ORD002372;CUST0216;PRD044;14.5.2024;1;38,28;Yes;30;26,8;CMP006
ORD001531;CUST0247;PRD035;15.12.2024;2;105,18;Yes;20;168,29;CMP007
ORD002206;CUST0021;PRD033;24.12.2024;2;102,1;No;;204,2;CMP002
ORD001883;CUST0156;PRD032;31.8.2024;1;96,29;No;;96,29;CMP001
ORD001606;CUST0010;PRD012;14.7.2024;1;67,03;No;;67,03;CMP002
ORD000917;CUST0158;PRD023;29.7.2024;2;26,66;Yes;10;47,99;No Campaign
ORD000290;CUST0161;PRD029;31.3.2024;1;124,45;No;;124,45;CMP008
ORD000510;CUST0223;PRD003;5.9.2024;1;54,5;No;;54,5;No Campaign
ORD001839;CUST0155;PRD025;16.3.2024;1;62,88;No;;62,88;CMP007
ORD001618;CUST0077;PRD055;21.11.2024;3;146,19;No;;438,57;No Campaign
ORD001748;CUST0181;PRD045;14.9.2024;2;12,65;Yes;20;20,24;No Campaign
ORD001949;CUST0026;PRD020;30.8.2024;2;44,96;No;;89,92;No Campaign
ORD001165;CUST0197;PRD029;5.2.2024;2;124,45;No;;248,9;CMP004
ORD001563;CUST0019;PRD029;28.10.2024;1;124,45;No;;124,45;CMP006
ORD002276;CUST0115;PRD039;11.10.2024;2;98,45;Yes;25;147,68;CMP003
ORD001108;CUST0052;PRD042;13.10.2024;2;77,36;No;;154,72;No Campaign
ORD001467;CUST0243;PRD045;25.9.2024;1;12,65;Yes;20;10,12;CMP002
ORD000327;CUST0243;PRD007;20.6.2024;1;116,65;No;;116,65;CMP002
ORD000924;CUST0031;PRD042;5.6.2024;2;77,36;Yes;10;139,25;CMP008
ORD001597;CUST0031;PRD046;4.10.2024;1;74,72;No;;74,72;CMP001
ORD001739;CUST0257;PRD027;23.7.2024;4;89,36;No;;357,44;No Campaign
ORD001892;CUST0012;PRD028;28.3.2024;1;114,4;No;;114,4;No Campaign
ORD002075;CUST0230;PRD042;29.6.2024;3;77,36;Yes;20;185,66;CMP003
ORD001222;CUST0092;PRD028;18.10.2024;1;114,4;No;;114,4;No Campaign
ORD000217;CUST0134;PRD027;5.8.2024;2;89,36;No;;178,72;No Campaign
ORD000517;CUST0199;PRD033;3.4.2024;2;102,1;Yes;30;142,94;CMP001
ORD000627;CUST0156;PRD054;14.7.2024;1;108,05;No;;108,05;No Campaign
ORD002390;CUST0081;PRD029;24.8.2024;2;124,45;No;;248,9;CMP003
ORD002147;CUST0199;PRD020;27.10.2024;3;44,96;Yes;10;121,39;No Campaign
ORD000991;CUST0133;PRD001;13.5.2024;1;88,41;No;;88,41;CMP005
ORD001746;CUST0080;PRD055;1.8.2024;1;146,19;No;;146,19;CMP004
ORD001255;CUST0222;PRD053;28.8.2024;1;12,65;Yes;20;10,12;No Campaign
ORD000910;CUST0131;PRD022;17.9.2024;1;36,13;No;;36,13;No Campaign
ORD001998;CUST0203;PRD025;29.9.2024;1;62,88;Yes;25;47,16;CMP001
ORD001518;CUST0149;PRD016;15.10.2024;2;77,06;Yes;30;107,88;No Campaign
ORD000110;CUST0090;PRD013;14.6.2024;2;46,11;No;;92,22;No Campaign
ORD000395;CUST0096;PRD055;11.1.2024;1;146,19;No;;146,19;No Campaign
ORD000819;CUST0156;PRD024;22.2.2024;1;79,13;No;;79,13;CMP006
ORD001659;CUST0058;PRD003;11.10.2024;2;54,5;Yes;10;98,1;CMP002
ORD000380;CUST0072;PRD035;7.3.2024;1;105,18;No;;105,18;No Campaign
ORD001194;CUST0182;PRD045;10.10.2024;4;21,12;No;;84,48;No Campaign
ORD001256;CUST0042;PRD008;15.4.2024;1;34,35;No;;34,35;No Campaign
ORD000661;CUST0233;PRD005;23.10.2024;2;114,73;Yes;15;195,04;CMP004
ORD001972;CUST0019;PRD006;16.4.2024;1;25,77;No;;25,77;CMP001
ORD002378;CUST0168;PRD022;15.1.2024;4;36,13;No;;144,52;CMP005
ORD001642;CUST0221;PRD018;2.9.2024;2;84,8;No;;169,6;No Campaign
ORD000346;CUST0080;PRD029;20.4.2024;2;124,45;Yes;25;186,68;No Campaign
ORD002125;CUST0065;PRD047;23.8.2024;1;38,8;No;;38,8;CMP005
ORD000984;CUST0162;PRD029;18.3.2024;1;124,45;No;;124,45;CMP007
ORD002070;CUST0134;PRD039;9.11.2024;1;98,45;Yes;15;83,68;CMP005
ORD001738;CUST0063;PRD023;10.6.2024;1;26,66;No;;26,66;CMP003
ORD002165;CUST0040;PRD016;21.3.2024;1;77,06;Yes;10;69,35;No Campaign
ORD000828;CUST0179;PRD044;7.1.2024;2;38,28;No;;76,56;CMP002
ORD000035;CUST0019;PRD035;17.5.2024;2;105,18;Yes;25;157,77;No Campaign
ORD000529;CUST0092;PRD035;7.4.2024;1;105,18;No;;105,18;No Campaign
ORD002077;CUST0248;PRD020;28.3.2024;2;44,96;No;;89,92;No Campaign
ORD000848;CUST0236;PRD038;19.12.2024;4;73,83;Yes;20;236,26;CMP004
ORD001855;CUST0178;PRD002;26.1.2024;1;134,25;Yes;20;107,4;CMP002
ORD000304;CUST0115;PRD029;9.6.2024;3;124,45;No;;373,35;No Campaign
ORD000326;CUST0237;PRD013;19.12.2024;1;46,11;No;;46,11;No Campaign
ORD000432;CUST0176;PRD034;16.4.2024;1;97,71;Yes;20;78,17;No Campaign
ORD001796;CUST0107;PRD044;21.7.2024;1;38,28;No;;38,28;No Campaign
ORD000010;CUST0106;PRD051;9.12.2024;1;103,2;No;;103,2;No Campaign
ORD001426;CUST0218;PRD038;21.12.2024;2;73,83;Yes;30;103,36;CMP001
ORD001854;CUST0258;PRD020;16.6.2024;2;44,96;No;;89,92;No Campaign
ORD001766;CUST0155;PRD019;20.4.2024;1;105,93;No;;105,93;No Campaign
ORD000108;CUST0227;PRD015;13.3.2024;3;111,98;No;;335,94;No Campaign
ORD000640;CUST0032;PRD026;29.8.2024;1;140,08;Yes;10;126,07;No Campaign
ORD002093;CUST0032;PRD050;22.12.2024;2;31,99;Yes;20;51,18;CMP008
ORD000272;CUST0221;PRD002;15.12.2024;1;134,25;No;;134,25;CMP005
ORD000399;CUST0023;PRD050;9.7.2024;1;31,99;No;;31,99;CMP008
ORD002214;CUST0029;PRD027;21.7.2024;1;89,36;No;;89,36;CMP003
ORD000778;CUST0038;PRD055;27.7.2024;2;146,19;No;;292,38;No Campaign
ORD000073;CUST0123;PRD052;4.6.2024;2;23,84;Yes;15;40,53;No Campaign
ORD001447;CUST0171;PRD035;28.7.2024;2;105,18;Yes;20;168,29;CMP008
ORD000359;CUST0218;PRD013;1.7.2024;1;46,11;No;;46,11;CMP007
ORD002230;CUST0040;PRD038;7.2.2024;1;73,83;No;;73,83;No Campaign
ORD001271;CUST0127;PRD026;30.12.2024;1;140,08;No;;140,08;CMP006
ORD001640;CUST0127;PRD023;8.5.2024;1;26,66;No;;26,66;CMP001
ORD001704;CUST0108;PRD046;12.9.2024;1;74,72;No;;74,72;CMP005
ORD001794;CUST0120;PRD006;8.3.2024;3;25,77;Yes;15;65,71;No Campaign
ORD000481;CUST0204;PRD031;29.9.2024;1;50,82;No;;50,82;No Campaign
ORD002090;CUST0047;PRD020;24.5.2024;1;44,96;No;;44,96;CMP004
ORD001893;CUST0139;PRD043;28.9.2024;3;83,38;Yes;15;212,62;CMP008
ORD000757;CUST0064;PRD046;7.3.2024;2;74,72;No;;149,44;CMP008
ORD000773;CUST0154;PRD045;24.2.2024;1;12,65;Yes;25;9,49;No Campaign
ORD000948;CUST0146;PRD003;3.9.2024;1;54,5;Yes;25;40,88;No Campaign
ORD002028;CUST0058;PRD020;29.9.2024;1;44,96;Yes;10;40,46;CMP004
ORD001365;CUST0163;PRD001;25.11.2024;4;88,41;No;;353,64;CMP008
ORD000541;CUST0101;PRD004;24.6.2024;3;110,52;No;;331,56;CMP001
ORD000882;CUST0106;PRD031;30.12.2024;3;50,82;No;;152,46;No Campaign
ORD001744;CUST0156;PRD033;13.11.2024;1;102,1;Yes;15;86,79;No Campaign
ORD000486;CUST0070;PRD025;8.10.2024;1;62,88;No;;62,88;CMP005
ORD001225;CUST0239;PRD013;20.12.2024;1;46,11;No;;46,11;No Campaign
ORD001868;CUST0215;PRD020;20.9.2024;1;44,96;No;;44,96;No Campaign
ORD000592;CUST0243;PRD023;28.2.2024;1;26,66;No;;26,66;No Campaign
ORD001039;CUST0094;PRD015;1.1.2024;2;111,98;No;;223,96;No Campaign
ORD001828;CUST0042;PRD050;12.9.2024;1;31,99;Yes;20;25,59;No Campaign
ORD001496;CUST0144;PRD051;11.12.2024;2;103,2;Yes;15;175,44;CMP002
ORD000753;CUST0229;PRD044;29.6.2024;1;38,28;Yes;30;26,8;No Campaign
